id,Brand,Model Name,Processor,Operating System,Storage,RAM,Screen Size,Touch_Screen,Price
389,DELL,VOSTRO,Core i5,Windows 11 Home,512 GB,8 GB,35.56 cm (14 inch),Yes,"₹54,490"
390,HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990"
391,HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990"
392,ASUS,X515JA-BQ322WS,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹33,990"
393,Acer,A515-56,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹48,990"
394,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990"
395,HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990"
396,HP,Pavilion x360 2-in-1,Core i7,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),Yes,"₹89,990"
397,DELL,Inspiron 3511,Core i3,Windows 11 Home,1 TB,8 GB,96.52 cm (38 cm),No,"₹38,499"
398,ASUS,RC71L-NH001W,Ryzen Z1 Octa Core,Windows 11 Home,512 GB,16 GB,17.78 cm (7 Inch),Yes,"₹59,990"
399,Acer,Nitro,Ryzen 5 Hexa Core,Windows 10 Home,1 TB,8 GB,39.62 cm (15.6 Inch),No,"₹62,990"
400,HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999"
401,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990"
402,HP,15s-du3517TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹49,749"
403,ASUS,CX1500CKA-EJ0277,Celeron Dual Core,Chrome,128 GB,4 GB,39.62 cm (15.6 Inch),No,"₹16,990"
404,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990"
405,HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990"
