id,Brand,Model Name,Processor,Operating System,Storage,RAM,Screen Size,Touch_Screen,Price
548,DELL,Latitude 3420,Core i3,Windows 10 Pro,256 GB,8 GB,35.56 cm (14 inch),Yes,"₹35,990"
549,DELL,Vostro 3425,Ryzen 3 Quad Core,Windows 11 Home,512 GB,8 GB,35.0 cm (13.78 inch),No,"₹38,198"
550,DELL,Alienware x17 R2,Core i7,Windows 11 Home,1 TB,32 GB,43.94 cm (17.3 Inch),No,"₹2,37,890"
551,HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990"
552,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990"
553,MSI,Raider GE78 HX 13VI-087IN,Core i9,Windows 11 Home,4 TB,64 GB,43.94 cm (17.3 Inch),No,"₹3,70,890"
554,HP,14s- dy2506TU,Core i3,Windows 11 Home,256 GB,8 GB,35.56 cm (14 inch),No,"₹36,690"
555,HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999"
556,HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990"
557,Lenovo,Ideapad 3,Core i7,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),Yes,"₹59,390"
558,Acer,Aspire 5,Core i5,Windows 10 Home,1 TB,8 GB,39.62 cm (15.6 inch),No,"₹45,991"
559,DELL,XPS 13,Core i7,Windows 11 Home,512 GB,16 GB,34.04 cm (13.4 inch),Yes,"₹1,28,990"
560,MSI,CreatorPro M16 A12UIS,Core i7,Windows 11 Home,2 TB,16 GB,40.64 cm (16 inch),No,"₹96,867"
561,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990"
562,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990"
563,HP,x360-bf0063TU,Core i7,Windows 11 Home,1 TB,16 GB,33.78 cm (13.3 Inch),Yes,"₹1,16,390"
564,ASUS,E510MA-EJ021WS,Celeron Dual Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹27,990"
565,HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990"
566,HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹53,990"
567,Apple,MK1A3HN/A,M1 Max,Mac OS Monterey,1 TB,32 GB,41.15 cm (16.2 inch),No,"₹3,09,490"
568,ASUS,K3405VCB-KM541WS,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹64,990"
569,GIGABYTE,AORUS 15 BKF,Core i7,Windows 11 Pro,1 TB,16 GB,39.62 cm (15.6 Inch),No,"₹1,48,990"
570,HP,15-fa0188TX,Core i7,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),Yes,"₹81,990"
571,HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990"
572,HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990"
573,ASUS,Vivobook 17,Core i5,Windows 11 Home,512 GB,16 GB,43.94 cm (17.3 inch),No,"₹58,800"
574,HP,16-d0333TX,Core i5,Windows 11 Home,512 GB,16 GB,40.89 cm (16.1 Inch),No,"₹62,990"
575,HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990"
576,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990"
577,Apple,MPHG3HN/A,M2 Max,macOS Ventura,1 TB,32 GB,35.56 cm (14 Inch),No,"₹2,90,990"
578,DELL,Vostro 3420,Core i5,Windows 11 Home,512 GB,8 GB,35.56 cm (14 inch),No,"₹49,999"
579,DELL,Vostro,Core i5,Windows 10,512 GB,8 GB,35.56 cm (14 inch),No,"₹59,590"
580,HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999"
581,Lenovo,ThinkBook 15 Gen 2,Core i5,Windows 10 Home,1 TB,16 GB,38.1 cm (15 inch),No,"₹58,890"
582,Lenovo,16ACH6H,Ryzen 7 Octa Core,Windows 11 Home,1 TB,16 GB,40.64 cm (16 inch),No,"₹1,04,990"
583,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990"
584,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990"
585,HP,VICTUS 15-fb1002AX,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),Yes,"₹50,990"
586,ASUS,Vivobook,Ryzen 5 Quad Core,Windows 11 Home,2 TB,16 GB,39.62 cm (15.6 inch),No,"₹52,990"
587,ASUS,Vivobook 16X	K3605VU,Core i5,Windows 11 Home,512 GB,16 GB,40.64 cm (16 inch),Yes,"₹90,990"
588,Lenovo,14IAU7,Core i3,Windows 11 Home,512 GB,8 GB,90.32 cm (35.56 cm),No,"₹35,880"
589,HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹53,990"
590,HP,15-fa0188TX,Core i7,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),Yes,"₹81,990"
591,Acer,EX215-54,Core i3,Windows 11 Home,256 GB,4 GB,39.62 cm (15.6 inch),No,"₹29,500"
592,HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990"
593,HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999"
594,DELL,Vostro 3425,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),No,"₹49,500"
595,ASUS,K3405VFB-KM541WS,Core i5,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),No,"₹82,990"
596,HP,245 G,Ryzen 3 Dual Core,DOS,512 GB,8 GB,35.56 cm (14 inch),No,"₹23,990"
597,HP,15-fd0012TU,Core i5,Windows 11 Home,1 TB,8 GB,39.62 cm (15.6 Inch),No,"₹66,247"
598,HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990"
599,HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990"
600,DELL,Vostro 5620,Core i5,Windows 11 Home,512 GB,8 GB,40.64 cm (16 Inch),No,"₹63,990"
601,MSI,Bravo 15 B7ED-011IN,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹74,990"
602,HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990"
603,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990"
604,Lenovo,TB15 G4 IAP,Core i5,Windows 11 Pro,2 TB,16 GB,39.62 cm (15.6 Inch),No,"₹59,990"
605,MICROSOFT,QEZ-00048,Core i5,Windows 11 Home,256 GB,8 GB,33.02 cm (13 inch),Yes,"₹1,13,990"
606,DELL,Vostro 3525,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹39,990"
607,ASUS,K3605ZC-MBN752WS,Core i7,Windows 11 Home,1 TB,16 GB,40.64 cm (16 Inch),No,"₹87,990"
608,HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990"
609,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990"
610,Lenovo,15IRH8,Core i7,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹1,00,190"
611,Acer,Aspire 3,Core i3,Windows 10 Home,256 GB,4 GB,39.62 cm (15.6 inch),No,"₹31,990"
612,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990"
613,HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹53,990"
614,Lenovo,V14,Core i5,Windows 10,256 GB,8 GB,35.56 cm (14 inch),Yes,"₹41,000"
615,Acer,Aspire 3,Core i3,Windows 10 Home,256 GB,4 GB,39.62 cm (15.6 inch),No,"₹31,990"
616,HP,14-ec0033AU,Ryzen 5 Hexa Core,Windows 10 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹48,400"
617,DELL,Latitude 14,Core i7,Windows 11 Pro,512 GB,16 GB,35.56 cm (14 inch),No,"₹99,990"
618,Lenovo,15IRH8,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹64,990"
619,Lenovo,15IRH8,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹90,990"
620,HP,15s- eq2212AU,Ryzen 3 Quad Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,750"
621,ASUS,FA577NU-LP082W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹94,990"
622,HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990"
623,HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990"
624,ASUS,Pro 15 OLED,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),Yes,"₹74,990"
625,DELL,G15,Core i7,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹1,09,990"
626,Lenovo,ideapad 3,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),Yes,"₹48,990"
627,ASUS,X415KA-EK111WS,Pentium Silver,Windows 11 Home,256 GB,4 GB,35.56 cm (14 Inch),No,"₹26,890"
628,HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990"
629,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990"
630,HP,14s-dq2606tu,Core i3,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),No,"₹44,300"
631,HP,Omen,Ryzen 5 Hexa Core,Windows 10 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹56,999"
632,HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990"
633,HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999"
634,DELL,Vostro 3400,Core i5,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),No,"₹48,583"
635,Lenovo,ThinkPad T14,Core i7,Windows 10,512 GB,16 GB,30.48 cm (12 inch),Yes,"₹1,10,790"
636,MSI,GF63 Thin 11UCX-1471IN,Core i5,Windows 11 Home,4 TB,8 GB,39.62 cm (15.6 Inch),No,"₹48,990"
637,HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990"
638,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990"
639,HP,15-fb0106AX,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,38.86 cm (15.3 Inch),No,"₹62,990"
640,Acer,A515-56G,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹46,990"
641,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990"
642,ASUS,Zenbook 14 Flip OLED,Core i7,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),Yes,"₹1,37,890"
643,DELL,Inspiron 3511,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹50,900"
644,ASUS,K513EA-L302WS,Core i3,Windows 11 Home,256 GB,8 GB,39.62 cm (15.6 inch),No,"₹39,500"
645,HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999"
646,HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990"
647,Lenovo,15IHU6,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹52,990"
648,HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990"
649,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990"
650,ASUS,GX650RXZ-LS228WS,Ryzen 9 Octa Core,Windows 11 Home,2 TB,32 GB,40.64 cm (16 Inch),No,"₹3,61,990"
651,Lenovo,15IRH8,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹64,990"
652,HP,15-fd0011TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹60,490"
653,HP,Intel,Core i5,Windows 10 Pro,512 GB,8 GB,33.78 cm (13.3 inch),Yes,"₹74,419"
654,HP,Victus 16,Core i5,Windows 11 Home,512 GB,16 GB,40.89 cm (16.1 inch),Yes,"₹64,500"
655,HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990"
656,HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990"
657,HP,15s- eq2212AU,Ryzen 3 Quad Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,750"
658,ASUS,Vivobook S15 OLED,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),Yes,"₹74,000"
659,ASUS,TUF Gaming F15,Core i5,Windows 10 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹54,990"
660,DELL,Inspiron 3511,Core i3,Windows 11 Home,1 TB,8 GB,39.62 cm (15.6 inch),No,"₹46,890"
661,HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990"
662,Acer,Aspire 3,Core i3,Windows 10 Home,256 GB,4 GB,39.62 cm (15.6 inch),No,"₹31,990"
663,HP,14-ec0033AU,Ryzen 5 Hexa Core,Windows 10 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹48,400"
664,HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999"
665,HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990"
666,DELL,Latitude 14,Core i7,Windows 11 Pro,512 GB,16 GB,35.56 cm (14 inch),No,"₹99,990"
667,Lenovo,V14,Core i5,Windows 10,256 GB,8 GB,35.56 cm (14 inch),Yes,"₹41,000"
668,ASUS,X415KA-EK111WS,Pentium Silver,Windows 11 Home,256 GB,4 GB,35.56 cm (14 Inch),No,"₹26,890"
669,ASUS,Pro 15 OLED,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),Yes,"₹74,990"
670,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990"
671,DELL,G15,Core i7,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹1,09,990"
672,Lenovo,ideapad 3,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),Yes,"₹48,990"
673,HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990"
674,HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹53,990"
675,ASUS,FA577NU-LP082W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹94,990"
676,HP,14s-dq2606tu,Core i3,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),No,"₹44,300"
677,MSI,Modern 14 C13M-438IN,Core i3,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),No,"₹41,990"
678,HP,15-fa0354TX,Core i7,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹91,731"
679,HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990"
680,HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990"
681,ASUS,UX3402VA-KM742WS,Core i7,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),No,"₹97,990"
682,HP,16-e0162AX,Ryzen 5 Hexa Core,Windows 10 Home,512 GB,8 GB,40.89 cm (16.1 inch),No,"₹58,900"
683,HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990"
684,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990"
685,ASUS,FX517ZE-HN035WS,Core i7,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),Yes,"₹97,289"
686,HP,15S-FQ2738TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),Yes,"₹36,490"
687,HP,14-ec0033AU,Ryzen 5 Hexa Core,Windows 10 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹48,400"
688,Apple,MacBook Pro,M3 Pro,macOS Sonoma,1 TB,18 GB,35.56 cm (14 Inch),No,"₹2,39,900"
689,HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999"
690,HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990"
691,HP,Victus,Core i5,Windows 11 Home,512 GB,8 GB,40.89 cm (16.1 inch),No,"₹70,890"
692,ASUS,TUF Gaming F15,Core i5,Windows 10 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹54,990"
693,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990"
694,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990"
695,Lenovo,15ITL6,Core i3,Windows 11 Home,256 GB,8 GB,39.62 cm (15.6 Inch),No,"₹34,490"
696,HP,Spectre x360 13,Core i7,Windows 11 Home,512 GB,16 GB,34.29 cm (13.5 inch),No,"₹1,31,680"
697,Lenovo,V14,Core i5,Windows 10,256 GB,8 GB,35.56 cm (14 inch),Yes,"₹41,000"
698,MSI,Katana GF66 12UC-881IN,Core i5,Windows 11 Home,2 TB,8 GB,39.62 cm (15.6 Inch),No,"₹72,990"
699,HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990"
700,HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹53,990"
701,HP,15-fc0031AU,Ryzen 5 Quad Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹50,090"
702,HP,14s-fy1005AU,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),No,"₹62,690"
703,HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990"
704,HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990"
705,HP,14s-ef1002tu,Core i3,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),No,"₹38,490"
706,HP,14-eh0024TU,Core i7,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹99,850"
707,HP,Envy,Core i5,Windows 10 Home,256 GB,8 GB,33.78 cm (13.3 inch),No,"₹64,391"
708,Acer,PHN16-71,Core i7,Windows 11 Home,1 TB,16 GB,40.64 cm (16 Inch),No,"₹1,37,999"
709,HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990"
710,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990"
711,ASUS,VivoBook 14,Core i3,Windows 10 Home,512 GB,4 GB,35.56 cm (14 inch),No,"₹42,500"
712,HP,250 G8,Core i3,Windows 10 Home,512 GB,4 GB,39.62 cm (15.6 inch),No,"₹31,000"
713,HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990"
714,Acer,A315-510P,Core i3,Windows 11 Home,256 GB,8 GB,39.62 cm (15.6 inch),Yes,"₹31,990"
715,ASUS,VivoBook 15,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),Yes,"₹32,490"
716,SAMSUNG,Galaxy Book3 Pro,Core i7,Windows 11 Home,1 TB,16 GB,35.56 cm (14 Inch),No,"₹1,40,990"
717,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990"
718,HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990"
719,HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹53,990"
720,ZEBRONICS,ZEB-NBC 5S,Core i7,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹50,990"
721,LG,LG Gram 14Z90Q-G.AJ56A2,Core i5,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),No,"₹64,762"
722,CHUWI,GemiBook X Pro,Celeron Quad Core,Windows 11 Home,256 GB,8 GB,35.81 cm (14.1 inch),No,"₹21,990"
723,ASUS,M6500QC,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹70,990"
724,HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990"
725,HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990"
726,DELL,Vostro 3420,Core i5,Windows 11 Home,512 GB,8 GB,35.56 cm (14 inch),Yes,"₹49,950"
727,HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990"
728,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990"
729,ASUS,UX3402VA-KM742WS,Core i7,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),No,"₹97,990"
730,Apple,MKGT3HN/A,M1 Pro,Mac OS Monterey,1 TB,16 GB,36.07 cm (14.2 inch),No,"₹2,39,900"
731,DELL,Inspiron 3511,Core i3,Windows 11 Home,256 GB,8 GB,38.0 cm (14.96 cm),No,"₹38,790"
732,HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999"
733,HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990"
734,ASUS,FX507ZC4-HN116WS,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹85,800"
735,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990"
736,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990"
737,DELL,Inspiron 3501,Core i5,Windows 10 Home,1 TB,8 GB,39.62 cm (15.6 inch),No,"₹52,199"
738,HP,Natural Silver,Core i3,Windows 10 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹40,500"
739,Lenovo,13ABR8,Ryzen 7 Octa Core,Windows 11 Home,1 TB,16 GB,33.78 cm (13.3 inch),Yes,"₹85,751"
740,HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990"
741,HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990"
742,MSI,Modern 14 C12M-670IN,Core i7,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),No,"₹60,990"
743,LG,LG Gram 14Z90Q-G.AJ56A2,Core i5,Windows 11 Home,512 GB,8 GB,35.56 cm (14 Inch),No,"₹64,762"
744,HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990"
745,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990"
746,DELL,Inspiron 5410,Core i5,Windows 10,512 GB,8 GB,35.56 cm (14 inch),Yes,"₹76,990"
747,ASUS,Vivobook Go 14,Ryzen 5 Quad Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),Yes,"₹51,990"
748,Apple,MacBook Pro,Core i5,Mac OS Mojave,512 GB,8 GB,33.78 cm (13.3 inch),No,"₹1,62,990"
749,HP,15s- fq3066TU,Celeron Dual Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹31,964"
750,HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999"
751,HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990"
752,ASUS,B9450FA-BM0696R,Core i7,Windows 10 Pro,1 TB,16 GB,35.56 cm (14 inch),No,"₹1,52,711"
753,ASUS,VivoBook Ultra K15,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),Yes,"₹64,200"
754,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990"
755,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990"
756,ASUS,Vivobook Go 15 OLED,Ryzen 5 Quad Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),Yes,"₹56,990"
757,ASUS,Vivobook-Pro-15-M6500,Ryzen 7 Quad Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),Yes,"₹68,200"
758,ASUS,FX506HCB-HN228T,Core i5,Windows 10 Home,1 TB,8 GB,39.62 cm (15.6 inch),No,"₹79,800"
